Model,Hamming_Loss,Subset_Accuracy,F1_Micro,F1_Macro,Precision_Micro,Recall_Micro
Logistic Regression,0.053765977443609024,0.09093045112781954,0.3123414792465531,0.02809427192147377,0.5541007378342645,0.21746116764863418
Random Forest,0.05,0.1856672932330827,0.3628132036602309,0.07776213374691648,0.6377800235809331,0.2535149973219068
XGBoost,0.049033834586466166,0.2348684210526316,0.4157539922506663,0.2152367956389144,0.6281044867023077,0.31070902517407606
